data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
18/02/2026 22:50,diinguerie,#P08RLPRR0,0,0,le_83,Derrota,0,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Boss Bandit | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Goblin Gang | Lightning | Mortar | Skeleton Army | Skeleton Barrel | Skeleton King | Spear Goblins | Witch,1
18/02/2026 22:37,-CompaFer-,#YPQ8GRGJY,0,0,Puro Chava M.,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Boss Bandit | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Fireball | Ice Golem | Knight | Royal Delivery | Skeleton Barrel | Skeletons | Tesla | The Log,1
18/02/2026 22:32,Rafael melo,#UYRC09G,0,0,Goblins Fit,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Goblin Barrel | Inferno Dragon | Lumberjack | Prince | Princess | Skeleton Army | The Log | Wizard,1
18/02/2026 22:25,Thomas ,#J2V9L8P,0,0,Nova Arg,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Cannon Cart | Goblins | Musketeer | Royal Ghost | Royal Hogs | Skeleton Army | Skeleton Barrel | Zap,1
18/02/2026 13:57,Nicsi,#98L890CYL,0,0,Гоуст,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Cannon | Dart Goblin | Goblin Barrel | Ice Spirit | Knight | Princess | Skeleton Army | The Log,1
18/02/2026 13:53,OyakoDon,#Q000PUJ8,0,0,パンドラの箱庭,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Dart Goblin | Fireball | Flying Machine | Goblin Barrel | Goblin Gang | Inferno Tower | Royal Ghost | The Log,1
17/02/2026 23:36,Matt,#2VJVG908V,0,0,Goosiest Fans,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Fireball | Furnace | Giant Snowball | Ice Spirit | Knight | Skeletons | Tesla | X-Bow,1
17/02/2026 23:34,var,#P2GGPJ0PR,0,0,Clan #P8CJU0UP,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Electro Spirit | Fireball | Fisherman | Goblins | Hunter | Royal Ghost | Royal Giant | The Log,1
17/02/2026 23:14,BomBaCı,#JGVP0U9QC,0,0,FENERBAHCE,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Arrows | Bowler | Elixir Golem | Lightning | Mini P.E.K.K.A | Royal Hogs | Skeleton Army | Witch,1
17/02/2026 23:04,WhiteHammer,#9PCGL2PPU,0,0,Australia 2,Vitoria,3,2,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Arrows | Dart Goblin | Goblin Cage | Goblins | Ice Golem | Royal Hogs | Skeleton Barrel | Wizard,1
17/02/2026 22:59,Jackie,#JCC0UVQL2,0,0,WOODY,Vitoria,2,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Firecracker | Freeze | Guards | Hog Rider | Inferno Tower | Mega Knight | Prince | Valkyrie,1
17/02/2026 22:40,StratuS,#29Y9GQ8R,0,0,Pulverizers,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Arrows | Bats | Firecracker | Furnace | Goblin Gang | Lightning | Mega Knight | Royal Recruits,1
17/02/2026 22:21,glebich,#9LR8U0R8,0,0,Россия,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Arrows | Cannon | Electro Spirit | Fireball | Hog Rider | Knight | Musketeer | Skeletons,1
17/02/2026 22:18,Roldi,#8CPCCG28,0,0,el CID royale,Vitoria,3,2,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Dark Prince | Dart Goblin | Rascals | Skeleton Barrel | Skeletons | Spear Goblins | The Log | Wall Breakers,1
17/02/2026 22:10,CR7 ❤️,#YVJLRJ82,0,0,Brace Yourself!,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Drill | Goblin Gang | Goblins | Minions | Royal Recruits,Arrows | Electro Giant | Lumberjack | Mini P.E.K.K.A | Musketeer | Night Witch | The Log | Valkyrie,1
17/02/2026 22:06,~《LUKAS》~,#8V22YYC22,0,0,CEIFADOR,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Drill | Goblin Gang | Goblins | Minions | Royal Recruits,Executioner | Freeze | Guards | Hog Rider | P.E.K.K.A | Sparky | Tornado | Wizard,1
17/02/2026 22:02,Laz7,#YQ8RUG0UJ,0,0,Scuderia™,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Drill | Goblin Gang | Goblins | Minions | Royal Recruits,Arrows | Boss Bandit | Knight | Lumberjack | Mother Witch | Ram Rider | Witch | Zap,1
17/02/2026 18:22,Filipe-BR,#UCYGLC8RJ,0,0,combatientes/MX,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Drill | Goblin Gang | Goblins | Minions | Royal Recruits,Arrows | Baby Dragon | Barbarian Barrel | Electro Wizard | Goblin Barrel | Mega Knight | Skeleton Army | Sparky,1
17/02/2026 18:14,WeSmokeDubies,#822Q29JYU,0,0,POPCORN READERS,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Gang | Goblins | Minions | Royal Recruits | Valkyrie,Executioner | Goblins | Hog Rider | Ice Spirit | Rocket | The Log | Tornado | Valkyrie,1
17/02/2026 16:10,BARANA:),#LGYYR8992,0,0,ایران,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Gang | Goblins | Minions | Royal Recruits | Valkyrie,Goblin Gang | Ice Golem | Ice Spirit | Lightning | Mega Knight | Skeleton Barrel | Sparky | Zap,1
17/02/2026 02:36,ESHWAR DARSHAN,#8LYJYQC2,0,8838,Indus Invictus,Vitoria,3,0,0,7xElixir_Ladder,riverRacePvP,Summit of Heroes,Electro Spirit | Fisherman | Hunter | Mighty Miner | Monk | Royal Ghost | Royal Giant | Zappies,Arrows | Goblin Barrel | Minions | P.E.K.K.A | Tesla | The Log | Wall Breakers | Wizard,1
17/02/2026 02:34,MiKE ☠️,#99JYYV2Q8,0,11399,team hot,Vitoria,3,0,0,7xElixir_Ladder,riverRacePvP,Summit of Heroes,Dart Goblin | Firecracker | Goblin Gang | Goblins | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Balloon | Electro Wizard | Giant Skeleton | Goblin Barrel | Lumberjack | Musketeer | Skeleton Dragons | Valkyrie,1
17/02/2026 02:30,el sabroso,#CQ9882R,0,0,Team☆brothers,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Gang | Goblins | Minions | Royal Recruits | Valkyrie,Fireball | Flying Machine | Hog Rider | Mega Knight | Mini P.E.K.K.A | Prince | Valkyrie | Witch,1
17/02/2026 02:22,JOHNNY WALKER,#82VGLRQ89,0,0,Sabesp,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Firecracker | Goblin Gang | Goblins | Minions | Royal Recruits,Clone | Elixir Collector | Giant Skeleton | Mini P.E.K.K.A | Royal Ghost | Skeleton Barrel | Three Musketeers | Wizard,1
