data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
02/01/2026 22:40,gu,#2PQ0VJQR,0,11410,TERMINATORS,Vitoria,3,1,31,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Earthquake | Hog Rider | Ice Spirit | Knight | Musketeer | Tesla | The Log | Valkyrie,1
02/01/2026 22:37,Matteo,#R920GQJ88,0,11399,Gesù Estintore,Derrota,0,1,-31,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Bats | Bomber | Hog Rider | Mega Knight | Skeleton Army | Valkyrie | Witch | Zap,1
02/01/2026 22:33,Küstenjunge,#JC0RYYQJ,0,11433,Elite Kings,Derrota,1,3,-31,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Dark Prince | Elixir Collector | Giant | Heal Spirit | Mini P.E.K.K.A | Rage | Witch | Zap,1
02/01/2026 22:23,لبيك يا حسين,#2VJUUVVRJ,0,5,لبيك يا حسين,Derrota,0,3,0,7xElixir_Friendly_EventDeck,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Dart Goblin | Elixir Golem | Executioner | Firecracker | Giant | Mega Knight | Mirror | Poison,1
02/01/2026 22:19,Jukito♤♢,#2GJ00ULQU,0,5,ARG,Derrota,0,1,0,7xElixir_Friendly_EventDeck,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Executioner | Firecracker | Goblinstein | Poison | Rocket | Royal Delivery | Tornado | Witch,1
02/01/2026 22:15,SIBATOV.UFC,#2GJCVLR02,0,4,БАЙТЕРЕК_07,Vitoria,3,0,1,7xElixir_Friendly_EventDeck,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Battle Healer | Electro Dragon | Elixir Golem | Fireball | Giant Skeleton | Rage | Tesla | The Log,1
02/01/2026 22:12,SekmenN,#PJRJJ228,0,4,AoCR,Derrota,1,3,0,7xElixir_Friendly_EventDeck,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Battle Healer | Electro Dragon | Elixir Golem | Fireball | Firecracker | Giant Skeleton | Mirror | Night Witch,1
02/01/2026 22:10,$$_Daniel_$$,#2ULLR99J,0,3,GigaGeeked,Vitoria,3,0,1,7xElixir_Friendly_EventDeck,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Battle Healer | Electro Dragon | Executioner | Giant | Mega Knight | Mirror | Rage | Tornado,1
02/01/2026 20:48,dmonty,#PVJ0UYJY,0,10211,Royale Clashers,Vitoria,3,0,0,7xElixir_Ladder,riverRacePvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Battle Healer | Fireball | Firecracker | Minions | Ram Rider | Rascals | Skeletons | Zap,1
02/01/2026 20:45,Kanzlerjäger,#JGPY9P28,0,10027,Singapore,Derrota,1,2,0,7xElixir_Ladder,riverRacePvP,Musketeer Street,Archer Queen | Arrows | Bomber | Goblin Curse | Goblin Giant | P.E.K.K.A | Rage | Skeleton King,Dart Goblin | Fireball | Goblin Demolisher | Goblin Gang | Guards | Little Prince | Royal Giant | The Log,1
02/01/2026 20:41,killer doc,#2JL8UQJQU,0,10872,Clan di Longino,Vitoria,1,0,0,7xElixir_Ladder,riverRacePvP,Musketeer Street,Firecracker | Goblin Demolisher | Golden Knight | Golem | Little Prince | Mega Knight | Princess | Witch,Baby Dragon | Bomber | Golem | Knight | Magic Archer | Night Witch | Poison | Zap,1
02/01/2026 20:35,Szyszka,#99Y0QJ20L,0,10554,Banda Świrów,Derrota,0,3,0,7xElixir_Ladder,riverRacePvP,Musketeer Street,Electro Spirit | Fisherman | Hunter | Mighty Miner | Monk | Royal Ghost | Royal Giant | Zappies,Bowler | Electro Giant | Giant Skeleton | Inferno Dragon | Ram Rider | Rocket | Skeleton Army | Tornado,1
02/01/2026 17:01,The Rat,#9YPP2RQPQ,0,2,The SearingWind,Vitoria,1,0,1,7xElixir_Friendly_EventDeck,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Firecracker | Mega Knight | Mirror | P.E.K.K.A | Poison | Princess | Rocket | Tornado,1
02/01/2026 16:57,José Morales,#G2C908RQ,0,1,Black Dragons™,Vitoria,3,0,1,7xElixir_Friendly_EventDeck,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Electro Dragon | Fire Spirit | Mega Knight | Princess | Rage | Skeleton Army | Tornado | Valkyrie,1
