data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
14/02/2026 20:58,lol,#Y8P0RVY2,0,0,CrazyCanadians,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Boss Bandit | Executioner | Firecracker | Goblins | Lightning | Ram Rider | Royal Ghost | Zap,1
14/02/2026 01:21,rey barva,#UPQ80UQ,0,0,TIQUICIA TEAM,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Furnace | Goblin Hut | Goblins | Ice Golem | Royal Ghost | Skeleton Barrel | The Log | Vines,1
14/02/2026 00:54,ALisset7,#2JURL9VU9,0,0,Sem cla,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Dart Goblin | Goblin Gang | Golden Knight | Hog Rider | Ice Spirit | Mega Knight | The Log | Witch,1
14/02/2026 00:50,nestor11,#VGQJPCYUR,0,0,Hn,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Electro Wizard | Firecracker | Guards | Hog Rider | Prince | Valkyrie | Zap,1
13/02/2026 23:26,Feb 24,#VC9UVCCJ,0,0,NOVA I MG,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Archers | Arrows | Barbarian Barrel | Fisherman | Giant | Mini P.E.K.K.A | Skeleton Army | Witch,1
13/02/2026 23:22,saivertickYTube,#2V2P2UG22,0,0,Sem cla,Derrota,1,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Baby Dragon | Battle Healer | Elixir Collector | Golem | Mega Minion | Night Witch | Tornado | Zap,1
13/02/2026 06:07,SHINO8I-RVY,#UJUU9G0UP,0,10853,G UNIT,Vitoria,2,0,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Dart Goblin | Firecracker | Goblin Gang | Goblins | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Giant Skeleton | Mini P.E.K.K.A | Minions | Poison | Skeletons | The Log | Witch | Wizard,1
13/02/2026 06:03,チャッピー,#VJ88YYUU,0,11618,GrandRoyal,Derrota,0,1,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Barbarian Barrel | Goblin Cage | Goblinstein | Graveyard | Mini P.E.K.K.A | Poison | Royal Delivery | Skeletons,Bowler | Dark Prince | Firecracker | Monk | Ram Rider | Rocket | Royal Recruits | Three Musketeers,1
13/02/2026 06:00,T BERSERKER,#8QGUGL9Q,0,10614,The Lads,Vitoria,3,1,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Balloon | Fireball | Golden Knight | Lumberjack | Mega Knight | Princess | Witch | Wizard,Baby Dragon | Hog Rider | Knight | Mega Knight | Musketeer | Prince | Vines | Witch,1
13/02/2026 05:57,Azul7u7,#UV0CUUJ0V,0,10297,Team pikachu,Vitoria,1,0,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Electro Spirit | Fisherman | Hunter | Mighty Miner | Monk | Royal Ghost | Royal Giant | Zappies,Bowler | Executioner | Goblin Barrel | Minions | Monk | Poison | Royal Recruits | Skeleton Army,1
13/02/2026 05:49,craft,#QGRCV0GPU,0,0,myasnaya lavka,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Bats | Dark Prince | Goblin Barrel | Mega Knight | Musketeer | Princess | Skeleton Army | The Log,1
13/02/2026 05:45,ORHAN,#8V9GUPLUG,0,0,ATATÜRKİYE,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Bats | Cannon Cart | Guards | Hog Rider | Lightning | Mega Knight | Witch,1
13/02/2026 05:42,farid master,#JJ8CQ0RVL,0,0,1 2 3 Ferro,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Electro Wizard | Goblin Barrel | Mega Knight | Mini P.E.K.K.A | Prince | Tesla | Zap,1
13/02/2026 05:37,Drunkn_squirel,#RPPC8CGU,0,0,U S patriots,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Barbarian Barrel | Bats | Fireball | Goblin Gang | Hog Rider | Lumberjack | Minion Horde | Valkyrie,1
13/02/2026 03:22,Katakuri,#GJRLUCYG,0,0,Adictos alNoPor,Derrota,0,3,0,Touchdown_Event,trail,Touchdown Arena,Berserker | Cannon | Dart Goblin | Fire Spirit | Goblin Barrel | Ice Spirit | Skeleton Army | The Log,Arrows | Dark Prince | Dart Goblin | Goblins | Lightning | Royal Recruits | Spirit Empress | Witch,1
13/02/2026 01:34,Daveheart,#998GCVCC,0,0,Sem cla,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Clone | Firecracker | Giant Skeleton | Night Witch | Skeleton Barrel | Skeleton King | Spirit Empress | Tombstone,1
13/02/2026 01:31,Thiago,#P8PQJ2PR9,0,0,amigos royale2,Vitoria,3,2,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Bandit | Bats | Dart Goblin | Firecracker | Goblin Gang | Hog Rider | Mega Knight,1
13/02/2026 01:28,Westley,#2RURRGVGQ,0,0,Bichubase,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Electro Spirit | Fireball | Firecracker | Hog Rider | Mega Knight | Skeletons | Tesla | The Log,1
13/02/2026 01:26,ジュリアン,#UQ2YJR9R0,0,0,TheMenInShadows,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Battle Ram | Dart Goblin | Goblin Curse | Golden Knight | Mega Knight | Mini P.E.K.K.A | Skeleton Army | Witch,1
13/02/2026 01:21,Patty mac,#JUQP9YCC,0,0,OZ-PIPELINE,Vitoria,3,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Berserker | Boss Bandit | Dart Goblin | Electro Wizard | Furnace | Mega Knight | Vines | Zap,1
12/02/2026 01:50,cam,#8CUU8JPUP,0,0,BC Canada Camp,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Bats | Elixir Collector | Firecracker | Golem | Guards | Prince | Rage | Valkyrie,1
12/02/2026 01:34,JOTICA 么,#PJVC80P08,0,0,COLOMBIANCREED,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Bats | Battle Ram | Bomber | Fireball | Little Prince | P.E.K.K.A | Royal Ghost | Zap,1
12/02/2026 01:10,☠DAGERSIN☠,#2Q080CY8J,0,0,Sem cla,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Clone | Furnace | Golem | Mini P.E.K.K.A | Poison | Tombstone | Witch,1
12/02/2026 01:04,ahian :),#Q29PG28C9,0,0,CROWN REAPERS,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Cannon | Goblin Gang | Hog Rider | Ice Golem | Ice Spirit | The Log | Valkyrie | Witch,1
