data_coleta;nome_jogador;tag_cla;nome_cla;fama_atual;posicao_no_top;categoria_top;deck_1;deck_2;deck_3;deck_4;resultado_dia;lutou_hoje
07/05/2026;Luca.canhotinho;#QCLPL9VQ;Tropa Do Bruxo;0;10;Top Cla;N/A;N/A;N/A;N/A;N/A;Nao
07/05/2026;BlasJoseph97;#QG9G9JCG;Perú;800;11;Top Global;Furnace | Goblins | Mega Knight | Poison | Ram Rider | Royal Ghost | Spirit Empress | Zap;Earthquake | Firecracker | Hog Rider | Ice Spirit | Knight | Skeletons | Tesla | The Log;Archers | Barbarian Barrel | Cannon | Electro Spirit | Fireball | Giant Skeleton | Goblin Barrel | Goblin Gang | Ice Golem | Ice Wizard | Mini P.E.K.K.A | Minions | Skeleton Army | Valkyrie | Witch | X-Bow;Baby Dragon | Barbarian Barrel | Giant Skeleton | Mega Knight | Mega Minion | Minions | Musketeer | P.E.K.K.A | Skeleton Army | The Log | Valkyrie | Witch;2V 2D;Sim
07/05/2026;Милена;#2YUCYQPC;Таллинн рулит;700;12;Top Global;Boss Bandit | Goblins | Hunter | Miner | Mortar | Skeletons | Valkyrie | Vines;Bats | Dart Goblin | Firecracker | Giant Skeleton | Giant Snowball | Mini P.E.K.K.A | Skeleton Barrel | Wizard;Freeze | Goblin Barrel | Inferno Tower | Mirror | Musketeer | P.E.K.K.A | Royal Hogs | Zap;Arrows | Bandit | Executioner | Goblin Gang | Hog Rider | Minion Horde | Princess | Skeleton Army;3V 1D;Sim
07/05/2026;Resi;#90P2LL8Y;ScdSqd;600;13;Top Global;Baby Dragon | Goblin Barrel | Goblin Giant | Inferno Tower | Minion Horde | Rocket | Witch | Zap;Arrows | Barbarians | Bomb Tower | Cannon | Goblin Gang | Royal Hogs | Skeleton Dragons | Wizard;Fireball | Flying Machine | Giant | Goblin Hut | Mini P.E.K.K.A | Minions | Spear Goblins | Valkyrie;Archers | Bats | Bomber | Hog Rider | Inferno Dragon | Knight | Musketeer | Skeletons;2V 2D;Sim
07/05/2026;Alex;#2YUCYQPC;Таллинн рулит;600;14;Top Global;Battle Ram | Bomber | Firecracker | Mega Knight | Minions | Princess | Royal Ghost | Tesla;Archers | Bats | Dart Goblin | Electro Wizard | Executioner | Flying Machine | Inferno Dragon | Musketeer;Arrows | Barbarians | Electro Giant | Knight | Mini P.E.K.K.A | Skeleton Dragons | Tornado | Zappies;Baby Dragon | Fireball | Goblin Gang | Hog Rider | Skeleton Army | The Log | Valkyrie | Wizard;2V 2D;Sim
07/05/2026;Sakura;#2YUCYQPC;Таллинн рулит;600;15;Top Global;Giant Skeleton | Goblin Barrel | Inferno Dragon | Monk | Royal Hogs | Skeleton King | Void | Witch;Arrows | Baby Dragon | Dark Prince | Executioner | Giant | Hog Rider | Magic Archer | Mighty Miner;Balloon | Firecracker | Golden Knight | Knight | Lightning | Mega Knight | Skeleton Barrel | The Log;Barbarian Barrel | Fire Spirit | Fireball | Furnace | Goblin Giant | Ice Spirit | Mini P.E.K.K.A | Royal Ghost;2V 2D;Sim
07/05/2026;Аndrei;#2YUCYQPC;Таллинн рулит;550;16;Top Global;Hog Rider | Inferno Tower | Lumberjack | Magic Archer | Minion Horde | Princess | Rage | Skeleton Army;Arrows | Baby Dragon | Barbarian Barrel | Bats | Battle Ram | Berserker | Bomber | Dart Goblin | Executioner | Fireball | Firecracker | Goblin Barrel | Goblin Demolisher | Goblin Gang | Goblin Machine | Inferno Dragon | Knight | Minions | Ram Rider | Royal Hogs | Spear Goblins | Valkyrie | Wizard | Zap;Arrows | Baby Dragon | Barbarian Barrel | Berserker | Dart Goblin | Executioner | Firecracker | Ram Rider;Battle Ram | Goblin Barrel | Goblin Demolisher | Goblin Gang | Goblin Machine | Knight | Minions | Wizard;1V 3D;Sim
07/05/2026;stevenx;#QG9G9JCG;Perú;500;17;Top Global;Baby Dragon | Balloon | Bomber | Cannon | Goblins | Magic Archer | Princess | Rage;Arrows | Bats | Elixir Golem | Firecracker | Mega Knight | Miner | Valkyrie | Wall Breakers;Bandit | Barbarian Barrel | Freeze | Mighty Miner | Mini P.E.K.K.A | Ram Rider | Skeleton Army | Witch;Dart Goblin | Goblin Barrel | Hog Rider | Ice Golem | Knight | Skeletons | The Log | Zap;1V 3D;Sim
07/05/2026;Mihhail;#2YUCYQPC;Таллинн рулит;500;18;Top Global;Bandit | Barbarians | Battle Ram | Goblin Cage | Inferno Dragon | Mother Witch | Prince | Spear Goblins;Archers | Baby Dragon | Battle Healer | Knight | Princess | Royal Giant | Three Musketeers | Zappies;Balloon | Cannon Cart | Electro Wizard | Musketeer | Skeleton Army | Tesla | Tornado | Valkyrie;Barbarian Barrel | Bowler | Firecracker | Flying Machine | Graveyard | Hog Rider | Mega Knight | Wall Breakers;1V 3D;Sim
04/05/2026;Gugu.;#QCLPL9VQ;Tropa Do Bruxo;0;1;Top Cla;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;GaguiN;#QCLPL9VQ;Tropa Do Bruxo;0;2;Top Cla;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;Schmidtiago;#QCLPL9VQ;Tropa Do Bruxo;0;3;Top Cla;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;EL_GRANDE BRUXO;#QCLPL9VQ;Tropa Do Bruxo;0;4;Top Cla;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;ツ ︻デ═一⟿ΔЯ₡λↁΣ☯︎;#QCLPL9VQ;Tropa Do Bruxo;0;5;Top Cla;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;naregs;#QCLPL9VQ;Tropa Do Bruxo;0;6;Top Cla;Bomber | Dart Goblin | Electro Giant | Firecracker | Goblin Gang | Mega Knight | Night Witch | Royal Hogs | Royal Recruits | Skeleton Army | Witch | Wizard;N/A;N/A;N/A;3V 3D;Sim
04/05/2026;Luca.canhotinho;#QCLPL9VQ;Tropa Do Bruxo;0;7;Top Cla;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;Pardal;#QCLPL9VQ;Tropa Do Bruxo;0;8;Top Cla;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;Seu Pai;#QCLPL9VQ;Tropa Do Bruxo;0;9;Top Cla;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;eSay;#QCLPL9VQ;Tropa Do Bruxo;0;10;Top Cla;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;PROMESA TM XNL;#QG9G9JCG;Perú;0;11;Top Global;Boss Bandit | Electro Dragon | Heal Spirit | Inferno Tower | Lumberjack | Princess | Vines | Witch;Bats | Electro Spirit | Firecracker | Golden Knight | Ice Wizard | Mighty Miner | P.E.K.K.A | Skeletons;N/A;N/A;2V 0D;Sim
04/05/2026;pacho_44;#QG9G9JCG;Perú;0;12;Top Global;Clone | Electro Spirit | Elixir Collector | Elixir Golem | Fire Spirit | Ice Spirit | Mirror | Rage;Baby Dragon | Elixir Golem | Firecracker | Goblin Machine | Golden Knight | Golem | Knight | Mega Knight | Royal Ghost | Skeleton King | Sparky | Witch;Bandit | Bomb Tower | Dart Goblin | Elite Barbarians | Mega Knight | Minion Horde | The Log | Wall Breakers;Balloon | Goblin Machine | Knight | Royal Delivery | Royal Giant | Royal Recruits | Skeleton Army | Wizard;4V 3D;Sim
04/05/2026;BlasJoseph97;#QG9G9JCG;Perú;0;13;Top Global;Baby Dragon | Barbarian Barrel | Giant Skeleton | Mega Knight | Mega Minion | Minions | Musketeer | P.E.K.K.A | Skeleton Army | The Log | Valkyrie | Witch;N/A;N/A;N/A;5V 5D;Sim
04/05/2026;Gianfranco;#QG9G9JCG;Perú;0;14;Top Global;Dark Prince | Electro Wizard | Firecracker | Goblin Cage | Golden Knight | Guards | Ram Rider | The Log;Barbarian Barrel | Dart Goblin | Elite Barbarians | Executioner | Giant | Goblin Hut | Inferno Tower | Mega Knight | Mini P.E.K.K.A | Musketeer | Royal Ghost | Skeletons | Suspicious Bush | Valkyrie | Wall Breakers | Wizard;Arrows | Hunter | Mother Witch | P.E.K.K.A | Rascals | Skeleton Army | Skeleton Barrel | Tesla;Dart Goblin | Executioner | Mega Knight | Mini P.E.K.K.A | Mother Witch | Royal Ghost | Skeletons | Zappies;3V 3D;Sim
04/05/2026;Hvoqx;#90P2LL8Y;ScdSqd;0;15;Top Global;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;클로얄노잼;#90P2LL8Y;ScdSqd;0;16;Top Global;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;laurenziboy X;#90P2LL8Y;ScdSqd;0;17;Top Global;Barbarian Barrel | Goblin Barrel | Goblin Gang | Goblin Hut | Knight | Skeleton Dragons | Spear Goblins | Tesla;Archers | Arrows | Electro Giant | Goblin Cage | Mini P.E.K.K.A | Minions | Skeletons | Wizard;Baby Dragon | Bomber | Cannon | Fireball | Firecracker | Guards | Ice Spirit | Inferno Dragon | Inferno Tower | Mega Minion | Musketeer | Ram Rider | Royal Giant | Valkyrie | Witch | Zap;Archers | Arrows | Bomber | Cannon | Electro Giant | Fireball | Goblin Cage | Ice Spirit | Mega Minion | Mini P.E.K.K.A | Minions | Musketeer | Royal Giant | Skeletons | Valkyrie | Wizard;5V 3D;Sim
04/05/2026;Mario;#90P2LL8Y;ScdSqd;0;18;Top Global;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;da_mama;#90P2LL8Y;ScdSqd;0;19;Top Global;Archers | Dark Prince | Electro Dragon | Furnace | Golem | Hog Rider | The Log | Valkyrie;N/A;N/A;N/A;0V 1D;Sim
04/05/2026;Benji_1899;#90P2LL8Y;ScdSqd;0;20;Top Global;N/A;N/A;N/A;N/A;N/A;Nao
04/05/2026;toxicity;#90P2LL8Y;ScdSqd;0;20;Top Global;Bats | Bomber | Boss Bandit | Dart Goblin | Firecracker | Giant | Goblin Giant | Hog Rider | Mega Knight | Minions | P.E.K.K.A | Witch;Boss Bandit | Dart Goblin | Giant Snowball | Magic Archer | Minions | P.E.K.K.A | Tesla | Void;N/A;N/A;4V 4D;Sim
